Year,Country,Value
1992,World,4.265600000000001
1993,World,-20.684635294117644
1994,World,-16.753576470588236
1995,World,-6.9036352201257865
1996,World,-7.159048192771085
1997,World,-3.745187878787879
1998,World,0.42547878787878807
1999,World,2.7628121212121215
2000,World,3.9118352941176475
2001,World,4.5326033519553075
2002,World,4.3684624145785875
2003,World,10.552680021656741
2004,World,11.026544240400668
2005,World,6.557321212121212
2006,World,9.242288888888888
2007,World,17.4263557483731
2008,World,30.51082118188795
2009,World,24.612351648351652
2010,World,30.32215367965368
2011,World,29.844334975369456
2012,World,42.438344947735196
2013,World,35.92337973704563
2014,World,40.6010741971207
2015,World,54.1256
2016,World,59.508529748283756
2017,World,51.109913725490195
2018,World,52.734897297297294
2019,World,58.9948429035753
2020,World,75.68885300668151
2021,World,78.27122162162162
2022,World,80.91839152119701
1992,United States,-11.423333333333334
1993,United States,-16.216470588235293
1994,United States,-13.413529411764706
1995,United States,-7.001063829787234
1996,United States,-6.9405940594059405
1997,United States,-4.783434343434344
1998,United States,-2.7460606060606056
1999,United States,2.445858585858586
2000,United States,4.219803921568627
2001,United States,1.9105660377358489
2002,United States,7.457830188679245
2003,United States,12.973153153153152
2004,United States,13.599907407407407
2005,United States,14.273232323232323
2006,United States,17.432777777777776
2007,United States,15.754774774774775
2008,United States,24.027115384615385
2009,United States,24.242785388127853
2010,United States,16.309054054054055
2011,United States,17.22634703196347
2012,United States,34.1251690821256
2013,United States,28.71942307692308
2014,United States,35.68185185185185
2015,United States,45.766936936936936
2016,United States,50.75957142857143
2017,United States,50.392026143790844
2018,United States,60.910090090090094
2019,United States,66.86054054054054
2020,United States,67.45425925925926
2021,United States,72.86504504504505
2022,United States,70.3115306122449
1992,"China, P.R.: Mainland",-33.879999999999995
1993,"China, P.R.: Mainland",-33.77411764705882
1994,"China, P.R.: Mainland",-21.357941176470586
1995,"China, P.R.: Mainland",-25.79698412698413
1996,"China, P.R.: Mainland",-13.254328358208957
1997,"China, P.R.: Mainland",-9.911060606060605
1998,"China, P.R.: Mainland",1.5677272727272726
1999,"China, P.R.: Mainland",18.540454545454548
2000,"China, P.R.: Mainland",16.674411764705884
2001,"China, P.R.: Mainland",27.43450704225352
2002,"China, P.R.: Mainland",10.835744680851063
2003,"China, P.R.: Mainland",15.103310810810811
2004,"China, P.R.: Mainland",8.874375
2005,"China, P.R.: Mainland",-14.500227272727273
2006,"China, P.R.: Mainland",19.819166666666668
2007,"China, P.R.: Mainland",9.75
2008,"China, P.R.: Mainland",43.77771428571428
2009,"China, P.R.: Mainland",33.66041379310345
2010,"China, P.R.: Mainland",39.55885135135135
2011,"China, P.R.: Mainland",28.62143835616438
2012,"China, P.R.: Mainland",61.54671532846715
2013,"China, P.R.: Mainland",43.89647058823529
2014,"China, P.R.: Mainland",41.3213698630137
2015,"China, P.R.: Mainland",30.903378378378378
2016,"China, P.R.: Mainland",51.77935251798561
2017,"China, P.R.: Mainland",47.12117647058823
2018,"China, P.R.: Mainland",41.59
2019,"China, P.R.: Mainland",54.469729729729735
2020,"China, P.R.: Mainland",70.765
2021,"China, P.R.: Mainland",78.5345945945946
2022,"China, P.R.: Mainland",89.03061538461539
1992,India,-5.7524999999999995
1993,India,-6.9885294117647065
1994,India,-18.46279411764706
1995,India,-0.11409448818897659
1996,India,2.2247368421052633
1997,India,-24.25060606060606
1998,India,-2.664242424242424
1999,India,-6.301363636363636
2000,India,1.5555882352941177
2001,India,1.8398611111111112
2002,India,-6.205836298932384
2003,India,6.335544217687075
2004,India,3.6048083623693383
2005,India,13.378787878787879
2006,India,2.539722222222222
2007,India,8.155000000000001
2008,India,37.463653846153846
2009,India,31.539243986254295
2010,India,48.00195945945946
2011,India,40.12931506849315
2012,India,50.15463768115942
2013,India,59.23817307692308
2014,India,44.50361111111111
2015,India,59.91513513513514
2016,India,82.27157142857143
2017,India,54.08029411764706
2018,India,48.685810810810814
2019,India,47.18648648648649
2020,India,79.633006993007
2021,India,100.7527027027027
2022,India,88.09376923076924
1992,Philippines,-15.64
1993,Philippines,-25.67529411764706
1994,Philippines,-22.059117647058823
1995,Philippines,-15.37125
1996,Philippines,-8.200606060606061
1997,Philippines,-7.571818181818182
1998,Philippines,-10.255151515151516
1999,Philippines,9.10090909090909
2000,Philippines,11.46735294117647
2001,Philippines,17.51833333333333
2002,Philippines,8.606785714285715
2003,Philippines,11.9225
2004,Philippines,6.206875
2005,Philippines,-4.116893939393939
2006,Philippines,16.290555555555557
2007,Philippines,12.084999999999999
2008,Philippines,37.45096153846154
2009,Philippines,36.83931034482759
2010,Philippines,40.95567567567567
2011,Philippines,36.17445205479452
2012,Philippines,49.91731884057971
2013,Philippines,49.995576923076925
2014,Philippines,41.09722222222222
2015,Philippines,39.45608108108108
2016,Philippines,47.111357142857145
2017,Philippines,59.58098039215687
2018,Philippines,52.39810810810811
2019,Philippines,58.13999999999999
2020,Philippines,68.04833333333333
2021,Philippines,77.50216216216216
2022,Philippines,85.50166666666667
1992,Indonesia,-16.945
1993,Indonesia,-16.125882352941176
1994,Indonesia,-12.793529411764707
1995,Indonesia,-9.46936507936508
1996,Indonesia,-6.298208955223881
1997,Indonesia,-3.8025757575757577
1998,Indonesia,-5.654090909090909
1999,Indonesia,-3.688939393939394
2000,Indonesia,-1.3082352941176472
2001,Indonesia,3.286901408450704
2002,Indonesia,8.160921985815603
2003,Indonesia,13.67581081081081
2004,Indonesia,15.128472222222221
2005,Indonesia,17.197272727272725
2006,Indonesia,19.158333333333335
2007,Indonesia,18.081756756756757
2008,Indonesia,20.87125
2009,Indonesia,24.994931506849316
2010,Indonesia,23.469662162162162
2011,Indonesia,23.014109589041094
2012,Indonesia,33.50333333333333
2013,Indonesia,34.64951923076923
2014,Indonesia,39.31638888888889
2015,Indonesia,48.40756756756757
2016,Indonesia,51.99671428571428
2017,Indonesia,53.8543137254902
2018,Indonesia,60.297567567567576
2019,Indonesia,66.92999999999999
2020,Indonesia,66.58555555555556
2021,Indonesia,72.46513513513514
2022,Indonesia,68.16363636363637
1992,Bangladesh,7.47
1993,Bangladesh,-4.777058823529412
1994,Bangladesh,-16.74764705882353
1995,Bangladesh,2.1325
1996,Bangladesh,5.818484848484848
1997,Bangladesh,-20.993636363636362
1998,Bangladesh,-9.466363636363637
1999,Bangladesh,-4.463333333333334
2000,Bangladesh,8.861176470588235
2001,Bangladesh,0.16999999999999982
2002,Bangladesh,-8.675
2003,Bangladesh,2.6752702702702704
2004,Bangladesh,3.3823611111111114
2005,Bangladesh,18.55318181818182
2006,Bangladesh,0.05944444444444446
2007,Bangladesh,-5.332972972972973
2008,Bangladesh,37.46326923076923
2009,Bangladesh,27.370694444444446
2010,Bangladesh,52.99689189189189
2011,Bangladesh,49.66616438356164
2012,Bangladesh,44.73434782608696
2013,Bangladesh,60.19480769230769
2014,Bangladesh,43.50333333333333
2015,Bangladesh,65.3727027027027
2016,Bangladesh,95.85042857142857
2017,Bangladesh,59.10078431372549
2018,Bangladesh,44.95567567567568
2019,Bangladesh,43.64756756756757
2020,Bangladesh,81.955
2021,Bangladesh,126.42054054054056
2022,Bangladesh,98.8428125
1992,Vietnam,-15.64
1993,Vietnam,-25.67529411764706
1994,Vietnam,-22.059117647058823
1995,Vietnam,-15.37125
1996,Vietnam,-8.200606060606061
1997,Vietnam,-7.571818181818182
1998,Vietnam,-10.255151515151516
1999,Vietnam,9.10090909090909
2000,Vietnam,11.46735294117647
2001,Vietnam,17.51833333333333
2002,Vietnam,8.606785714285715
2003,Vietnam,11.9225
2004,Vietnam,6.206875
2005,Vietnam,-4.116893939393939
2006,Vietnam,16.290555555555557
2007,Vietnam,12.084999999999999
2008,Vietnam,37.45096153846154
2009,Vietnam,36.83931034482759
2010,Vietnam,40.95567567567567
2011,Vietnam,36.17445205479452
2012,Vietnam,49.91731884057971
2013,Vietnam,49.995576923076925
2014,Vietnam,41.09722222222222
2015,Vietnam,39.45608108108108
2016,Vietnam,47.111357142857145
2017,Vietnam,59.58098039215687
2018,Vietnam,52.39810810810811
2019,Vietnam,58.13999999999999
2020,Vietnam,68.04833333333333
2021,Vietnam,77.50216216216216
2022,Vietnam,85.50166666666667
1992,Mexico,-12.636666666666665
1993,Mexico,-10.125882352941176
1994,Mexico,-7.564117647058823
1995,Mexico,-6.419999999999999
1996,Mexico,-17.925555555555555
1997,Mexico,-5.232626262626263
1998,Mexico,-5.945757575757575
1999,Mexico,0.9643434343434342
2000,Mexico,-4.348431372549019
2001,Mexico,4.045046728971963
2002,Mexico,17.209336492890994
2003,Mexico,25.906621621621625
2004,Mexico,12.315694444444444
2005,Mexico,11.839646464646465
2006,Mexico,7.407592592592592
2007,Mexico,18.368363636363636
2008,Mexico,28.116815286624206
2009,Mexico,21.690136986301372
2010,Mexico,16.969864253393666
2011,Mexico,17.20118181818182
2012,Mexico,42.802705314009664
2013,Mexico,31.96
2014,Mexico,48.189908256880734
2015,Mexico,67.06504504504505
2016,Mexico,72.84919047619047
2017,Mexico,52.78058823529412
2018,Mexico,61.95216216216216
2019,Mexico,82.23594594594596
2020,Mexico,82.29555555555555
2021,Mexico,76.8954054054054
2022,Mexico,88.10536082474226
1992,Japan,-25.706666666666667
1993,Japan,-23.27627450980392
1994,Japan,-14.622352941176471
1995,Japan,-9.706666666666667
1996,Japan,-5.4995959595959585
1997,Japan,5.475151515151515
1998,Japan,-0.4925252525252526
1999,Japan,5.821616161616162
2000,Japan,3.3198039215686275
2001,Japan,2.596111111111111
2002,Japan,8.717619047619047
2003,Japan,10.600630630630631
2004,Japan,18.816574074074076
2005,Japan,3.8267676767676764
2006,Japan,6.096666666666666
2007,Japan,14.617837837837838
2008,Japan,17.61897435897436
2009,Japan,17.445733944954128
2010,Japan,22.89162162162162
2011,Japan,12.993607305936072
2012,Japan,33.412270531400964
2013,Japan,20.51974358974359
2014,Japan,42.75814814814815
2015,Japan,45.43747747747748
2016,Japan,61.072809523809525
2017,Japan,48.41823529411764
2018,Japan,42.78261261261261
2019,Japan,53.29792792792792
2020,Japan,58.70611111111111
2021,Japan,64.60963963963964
2022,Japan,65.20134020618556
1992,Brazil,-12.86
1993,Brazil,-16.865882352941178
1994,Brazil,-15.09529411764706
1995,Brazil,-8.558387096774194
1996,Brazil,-7.539411764705883
1997,Brazil,-7.300909090909091
1998,Brazil,-1.219090909090909
1999,Brazil,-1.782727272727273
2000,Brazil,-1.9864705882352942
2001,Brazil,1.8014285714285714
2002,Brazil,5.240704225352113
2003,Brazil,16.96864864864865
2004,Brazil,15.494444444444444
2005,Brazil,18.01151515151515
2006,Brazil,19.73611111111111
2007,Brazil,19.00945945945946
2008,Brazil,22.876730769230768
2009,Brazil,26.72109589041096
2010,Brazil,27.851216216216212
2011,Brazil,27.578630136986302
2012,Brazil,35.204927536231885
2013,Brazil,37.45096153846154
2014,Brazil,38.522777777777776
2015,Brazil,46.64432432432432
2016,Brazil,50.505428571428574
2017,Brazil,56.10078431372549
2018,Brazil,63.28270270270271
2019,Brazil,71.55837837837838
2020,Brazil,70.03
2021,Brazil,76.96648648648649
2022,Brazil,71.02878787878787
1992,Australia,-20.146666666666665
1993,Australia,-16.777058823529412
1994,Australia,-12.80843137254902
1995,Australia,-10.81842105263158
1996,Australia,-9.0825
1997,Australia,-6.138585858585859
1998,Australia,-5.321414141414141
1999,Australia,-3.3466666666666667
2000,Australia,-1.0535294117647058
2001,Australia,5.64037037037037
2002,Australia,8.184999999999999
2003,Australia,10.14418918918919
2004,Australia,12.955046296296295
2005,Australia,15.127929292929293
2006,Australia,19.349259259259256
2007,Australia,20.47198198198198
2008,Australia,23.101474358974357
2009,Australia,25.30228310502283
2010,Australia,29.425540540540542
2011,Australia,28.201826484018262
2012,Australia,38.21458937198068
2013,Australia,40.76660256410256
2014,Australia,43.23555555555555
2015,Australia,53.15207207207207
2016,Australia,51.628095238095234
2017,Australia,55.9878431372549
2018,Australia,57.33405405405405
2019,Australia,64.16918918918918
2020,Australia,65.54944444444445
2021,Australia,68.73225225225225
2022,Australia,70.7339393939394
1992,France,17.94
1993,France,-19.68254901960784
1994,France,-18.691372549019608
1995,France,-5.642631578947369
1996,France,-7.814500000000001
1997,France,3.7410101010101013
1998,France,1.8026262626262624
1999,France,-1.0317171717171718
2000,France,-4.093333333333334
2001,France,2.817102803738318
2002,France,9.247582938388625
2003,France,20.13436936936937
2004,France,13.72912037037037
2005,France,8.487727272727273
2006,France,15.532592592592593
2007,France,19.28279279279279
2008,France,23.669423076923074
2009,France,17.39908675799087
2010,France,28.29968325791855
2011,France,26.07109090909091
2012,France,24.83584541062802
2013,France,22.458910256410256
2014,France,30.954074074074075
2015,France,40.70072072072072
2016,France,51.11480952380953
2017,France,47.48843137254902
2018,France,57.67
2019,France,61.960090090090084
2020,France,73.04407407407408
2021,France,67.9654954954955
2022,France,74.52294736842106
1992,Pakistan,-5.16
1993,Pakistan,-0.2452941176470586
1994,Pakistan,-2.5923529411764705
1995,Pakistan,2.5650000000000004
1996,Pakistan,-5.005454545454544
1997,Pakistan,10.106666666666666
1998,Pakistan,5.87939393939394
1999,Pakistan,-27.850909090909088
2000,Pakistan,-22.786470588235293
2001,Pakistan,-24.040555555555553
2002,Pakistan,-9.099285714285713
2003,Pakistan,8.750135135135135
2004,Pakistan,-0.7856944444444439
2005,Pakistan,15.710454545454548
2006,Pakistan,10.445555555555556
2007,Pakistan,19.01162162162162
2008,Pakistan,18.45596153846154
2009,Pakistan,37.35205479452055
2010,Pakistan,34.939054054054054
2011,Pakistan,37.25890410958904
2012,Pakistan,46.82811594202899
2013,Pakistan,57.417884615384615
2014,Pakistan,47.76888888888889
2015,Pakistan,76.41243243243244
2016,Pakistan,74.82814285714286
2017,Pakistan,64.44333333333334
2018,Pakistan,45.24567567567567
2019,Pakistan,80.1672972972973
2020,Pakistan,93.95055555555555
2021,Pakistan,91.29702702702703
2022,Pakistan,76.23625
1992,Russian Federation,99.795
1993,Russian Federation,-26.540294117647058
1994,Russian Federation,-16.071176470588235
1995,Russian Federation,7.636349206349207
1996,Russian Federation,-56.61477611940298
1997,Russian Federation,-0.9663636363636355
1998,Russian Federation,15.23969696969697
1999,Russian Federation,-2.65878787878788
2000,Russian Federation,13.265588235294118
2001,Russian Federation,1.2190140845070405
2002,Russian Federation,-0.18482269503546142
2003,Russian Federation,6.895472972972973
2004,Russian Federation,26.73715277777778
2005,Russian Federation,30.175833333333333
2006,Russian Federation,8.76388888888889
2007,Russian Federation,70.09391891891892
2008,Russian Federation,46.83596153846153
2009,Russian Federation,9.043082191780822
2010,Russian Federation,-11.518648648648648
2011,Russian Federation,47.050616438356165
2012,Russian Federation,65.11804347826087
2013,Russian Federation,5.764423076923078
2014,Russian Federation,9.739166666666666
2015,Russian Federation,92.02013513513513
2016,Russian Federation,48.92885714285714
2017,Russian Federation,82.99049019607844
2018,Russian Federation,44.722297297297295
2019,Russian Federation,70.73716216216216
2020,Russian Federation,120.20416666666668
2021,Russian Federation,69.41013513513514
2022,Russian Federation,98.8540625
1992,Thailand,-12.66
